imdb_id,original_title_imdb,year,runtime_imdb,genres_imdb,genres_imdb_list,imdb_rating,imdb_votes,directors_names,writers_names,actors_names,composers_names,tmdb_id,backdrop_path,budget,overview,tmdb_popularity,poster_path,status,production_companies_name,production_companies_country,revenue,roi,decade,film_age,classic_flag,recent_flag,runtime_bucket,imdb_weighted_rating,log_imdb_votes,log_tmdb_popularity,rating_norm,votes_norm,tmdb_popularity_norm,quality_popularity_score,genre_creuse_score,genre_creuse_norm,duration_score,duration_norm,period_score,period_norm,roi_norm,creuse_score,main_genre
tt0410297,The Lake House,2006.0,99.0,"Drama,Fantasy,Romance","['Drama', 'Fantasy', 'Romance']",6.8,165412,['Alejandro Agresti'],"['David Auburn', 'Eun-Jeong Kim', 'Ji Na Yeo']","['Keanu Reeves', 'Sandra Bullock', 'Christopher Plummer', 'Ebon Moss-Bachrach', 'Willeke van Ammelrooy']",['Rachel Portman'],2044,/cvenzPOcYthevmYvy0WX4pZ2RNp.jpg,40000000,"When architect Alex Wyler moves into an unusual glass house on stilts over a lake, he discovers a note from the previous tenant in the mailbox--but no one's lived in the house for years. He replies and soon discovers that he's corresponding with a doctor named Kate Forster. Their correspondence, only through the 'magical' mailbox, turns romantic and their paths cross in unexpected ways, but when they try to truly connect, danger looms. They must try to unravel the mystery behind their extraordinary romance before it's too late.",3.2502,/tHpc1118dYWLnHZleGhwZxRbpae.jpg,Released,['Vertigo Entertainment'],['US'],114830111,2.870752775,2000,20.0,0,1,standard,6.78579205881056,12.016200655822901,1.4469660406526232,0.5580534028452112,0.30771615002933195,0.23766668785326248,0.41887488400205763,3.5,0.7142857142857143,1.0,1.0,1.0,1.0,0.1430054949818586,0.6394707698640988,Drama
tt0462538,The Simpsons Movie,2007.0,87.0,"Adventure,Animation,Comedy","['Adventure', 'Animation', 'Comedy']",7.3,363608,['David Silverman'],"['James L. Brooks', 'Matt Groening', 'Al Jean', 'Ian Maxtone-Graham', 'George Meyer', 'David Mirkin', 'Mike Reiss', 'Mike Scully', 'Matt Selman', 'John Swartzwelder', 'Jon Vitti']","['Dan Castellaneta', 'Dan Castellaneta', 'Dan Castellaneta', 'Julie Kavner', 'Julie Kavner']",['Hans Zimmer'],35,/8ln5VUVk7gnNGIb2VNgw8nICDVt.jpg,75000000,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",8.3406,/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg,Released,"['Gracie Films', '20th Century Fox']","['US', 'US']",527068851,7.02758468,2000,19.0,0,1,standard,7.1045628985962885,12.803834393454371,2.234370490006156,0.6178888807401836,0.49194047515832134,0.36814614674586144,0.5301558122667605,2.0,0.6071428571428571,1.0,1.0,1.0,1.0,0.22007760402446253,0.6394155573517321,Adventure
tt0209475,The Wedding Planner,2001.0,103.0,"Comedy,Romance","['Comedy', 'Romance']",5.4,93001,['Adam Shankman'],"['Pamela Falk', 'Michael Ellis']","['Jennifer Lopez', 'Matthew McConaughey', 'Bridgette Wilson-Sampras', 'Justin Chambers', 'Judy Greer']",['Mervyn Warren'],2018,/h6D695KwxdjFWteDwZ6LHOfICr6.jpg,35000000,"San Francisco's premiere wedding planner, Mary Fiore is rescued from an accident by the man of her dreams, pediatrician Steve Edison, only to find he is the fiancé of her latest client. As Mary continues making their wedding arrangements, she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction.",3.1261,/meq4bLUPcBlOG3Z5YdiWuBMlpO.jpg,Released,"['Tapestry Films', 'Dee Gee Entertainment', 'IMF', 'Intermedia Films', 'Prufrock Pictures', 'Columbia Pictures', 'J&M Entertainment']","['US', '', 'DE', 'GB', '', 'US', 'GB']",94700000,2.7057142857142855,2000,25.0,0,1,standard,6.360486323270807,11.4403762772805,1.4173326509040751,0.4782205926841574,0.17303317181055436,0.23275618898229658,0.3375714856817043,4.5,0.7857142857142857,1.0,1.0,1.0,1.0,0.13840157221199825,0.6393558128849107,Comedy
tt0457510,Nacho Libre,2006.0,92.0,"Comedy,Family,Sport","['Comedy', 'Family', 'Sport']",5.9,102345,['Jared Hess'],"['Jared Hess', 'Jerusha Hess', 'Mike White']","['Jack Black', 'Ana de la Reguera', 'Héctor Jiménez', 'Darius Rose', 'Moises Arias']",['Danny Elfman'],9353,/g2yTT9lB5I1DA1uBWT7m4wrYuVz.jpg,35000000,"Ignacio, a disrespected cook at a Mexican monastery, can barely afford to feed the orphans who live there. Inspired by a local wrestling hero, he decides to moonlight as the not-so-famous Luchador ""Nacho Libre"" to earn money for the monastery -- not to mention the admiration of beautiful nun Sister Encarnación.",6.7943,/kh7B91bMl2lZ0mH9WhPfaNUIEQH.jpg,Released,"['Paramount Pictures', 'Nickelodeon Movies', 'Black & White Productions', 'MP Inka']","['US', 'US', '', 'DE']",99255460,2.835870285714286,2000,20.0,0,1,standard,6.493225702115526,11.536114508742926,2.0533926973227885,0.5031366865589746,0.19542595444229705,0.33815662296263926,0.37782745420470426,4.0,0.75,1.0,1.0,1.0,1.0,0.14204899020737527,0.6393420584820153,Comedy
tt0397313,Eight Below,2006.0,120.0,"Adventure,Drama,Family","['Adventure', 'Drama', 'Family']",7.3,71801,['Frank Marshall'],"['David DiGilio', 'Toshirô Ishidô', 'Koreyoshi Kurahara', 'Tatsuo Nogami', 'Susumu Saji']","['Paul Walker', 'Jason Biggs', 'Bruce Greenwood', 'Moon Bloodgood', 'Wendy Crewson']",['Mark Isham'],9036,/1GAEBLa8EmA9d8l0s8gHB2zxWLq.jpg,40000000,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.",3.9901,/39hR806Me4wI42LCFcK2LBiCRGW.jpg,Released,"['Walt Disney Pictures', 'Spyglass Entertainment', 'Mandeville Films', 'The Kennedy/Marshall Company', 'Winking Productions', 'Survival Productions']","['US', 'US', 'US', 'US', 'DE', 'GB']",120453565,3.011339125,2000,20.0,0,1,standard,6.906097884069614,11.181667609801572,1.6074559496427878,0.5806356332423306,0.11252226757396407,0.2642611990983432,0.3769267367130231,4.0,0.75,1.0,1.0,1.0,1.0,0.14677503663172028,0.6392631096811442,Adventure
tt1598822,New Year's Eve,2011.0,118.0,"Comedy,Romance","['Comedy', 'Romance']",5.6,92858,['Garry Marshall'],['Katherine Fugate'],"['Sarah Jessica Parker', 'Jessica Biel', 'Ashton Kutcher', 'Michelle Pfeiffer', 'Zac Efron']",['John Debney'],62838,/ryci9wQygdRfeElrSEbYxkHHget.jpg,56000000,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,2.5148,/TroWD1BdcLEL7Ycqv4kkCRw7KJ.jpg,Released,"['New Line Cinema', 'Karz Entertainment', 'Warner Bros. Pictures']","['US', 'US', 'US']",142044638,2.5365113928571428,2010,15.0,0,1,standard,6.421148520410437,11.438837492616509,1.256982624639551,0.4896073040861432,0.1726732563413478,0.2061848574669786,0.33784260043887165,4.5,0.7857142857142857,1.0,1.0,1.0,1.0,0.1334635209656155,0.6392038004876001,Comedy
tt5649144,The Florida Project,2017.0,111.0,Drama,['Drama'],7.6,146955,['Sean Baker'],"['Sean Baker', 'Chris Bergoch']","['Brooklynn Prince', 'Bria Vinaite', 'Willem Dafoe', 'Christopher Rivera', 'Aiden Malik']",['Lorne Balfe'],394117,/lO5c0zG8s1dBPHcRparpNlNGWU9.jpg,2000000,"The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times.",4.6683,/5QnDxdJg1fi6uMSkSi4x8tHsltm.jpg,Released,"['Cre Film', 'Freestyle Picture Company', 'June Pictures']","['US', 'US', 'US']",11303040,5.65152,2010,9.0,0,1,standard,7.109375098209489,11.897888501227891,1.7348892491504122,0.6187921636871916,0.2800434186651752,0.285377955522954,0.45048469854773915,3.0,0.6785714285714286,1.0,1.0,1.0,1.0,0.20020946752422614,0.6391086892964915,Drama
tt6146586,John Wick: Chapter 3 - Parabellum,2019.0,130.0,"Action,Crime,Drama","['Action', 'Crime', 'Drama']",7.4,480921,['Chad Stahelski'],"['Derek Kolstad', 'Shay Hatten', 'Chris Collins', 'Marc Abrams']","['Keanu Reeves', 'Halle Berry', 'Ian McShane', 'Laurence Fishburne', 'Mark Dacascos']","['Tyler Bates', 'Joel J. Richard']",458156,/vVpEOvdxVBP2aV166j5Xlvb5Cdc.jpg,55000000,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",12.7513,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,Released,"['Thunder Road', 'Lionsgate', '87Eleven']","['US', 'US', 'US']",328349908,5.9699983272727275,2010,7.0,0,1,standard,7.206532693171793,13.083460373776031,2.621133365097986,0.6370293121340297,0.5573438537238455,0.4322359683148909,0.5721650058471467,1.5,0.5714285714285714,1.0,1.0,1.0,1.0,0.2051511443862235,0.6390867378372411,Action
tt0196229,Zoolander,2001.0,90.0,Comedy,['Comedy'],6.5,317200,['Ben Stiller'],"['Drake Sather', 'Ben Stiller', 'John Hamburg']","['Ben Stiller', 'Owen Wilson', 'Christine Taylor', 'Will Ferrell', 'Milla Jovovich']",['David Arnold'],9398,/lIyyiBOuyokL82rPEDcZaMKleA3.jpg,28000000,"Clear the runway for Derek Zoolander, VH1's three-time male model of the year. His face falls when hippie-chic Hansel scooters in to steal this year's award. The evil fashion guru Mugatu seizes the opportunity to turn Derek into a killing machine. It's a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories like Matilda can Derek make the world safe for male models everywhere.",5.2865,/qdrbSneHZjJG2Dj0hhBxzzAo4HB.jpg,Released,"['Paramount Pictures', 'Village Roadshow Pictures', 'VH1 Films', 'NPV Entertainment', 'Scott Rudin Productions', 'Red Hour']","['US', 'US', 'US', 'US', 'US', 'US']",60780981,2.1707493214285716,2000,25.0,0,1,standard,6.6112210466309485,12.66729092132298,1.8384044770510988,0.5252852238380055,0.46000351283390617,0.3025312887746453,0.4611499235241036,3.0,0.6785714285714286,1.0,1.0,1.0,1.0,0.12192831489103713,0.6389274604065596,Comedy
tt0425413,Run Fatboy Run,2007.0,100.0,"Comedy,Romance,Sport","['Comedy', 'Romance', 'Sport']",6.5,71610,['David Schwimmer'],"['Michael Ian Black', 'Simon Pegg']","['Simon Pegg', 'Thandiwe Newton', 'Hank Azaria', 'Dylan Moran', 'Harish Patel']",['Alex Wurman'],7942,/lfNNJkJJXjkRke18vsgCH4a0nu8.jpg,10000000,"Five years after jilting his pregnant fiancée on their wedding day, out-of-shape Dennis decides to run a marathon to win her back.",1.4026,/2MZNPXJquIG8OcwajiR8YkCr7ak.jpg,Released,"['Material Entertainment', 'Beech Hill Films', 'Gold Circle Films', 'EFD Films']","['', 'US', 'US', 'GB']",33478921,3.3478921,2000,19.0,0,1,standard,6.706340131342452,11.179003972433575,0.8765514843051377,0.543139729897816,0.11189925363606042,0.14314425695032884,0.3337684924297919,4.5,0.7857142857142857,1.0,1.0,1.0,1.0,0.1552876467702102,0.6388690689746519,Comedy
